Well,Sample Name,Target Name,Task,Reporter,Quencher,RQ,RQ Min,RQ Max,Cт,Cт Mean,Cт SD,ΔCт,ΔCт Mean,ΔCт SE,HK Control ΔCт Mean,HK Control ΔCт SE,ΔΔCт,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Efficiency,Tm1,Tm2,Tm3,Comments,AMPNC,BADROX,HIGHSD,NOISE,SPIKE,NOSIGNAL,EXPFAIL,MTP
A1,NTC GLUT1,GLIT1,NTC,SYBR,None,,,,Undetermined,,,,,,,,,TRUE,0.768644866,TRUE,3,36,1,81.31416321,68.6459198,78.63146973,,N,N,N,N,N,N,N,Y
A3,NcT Actin,ACTB,NTC,SYBR,None,,,,Undetermined,,,,,,,,,TRUE,0.881184954,TRUE,3,39,1,69.98892212,61.34343719,,,N,N,N,N,N,N,N,Y
A5,NTC GK,GK,NTC,SYBR,None,,,,30.43931198,30.43931198,,,,,,,,TRUE,0.382780225,TRUE,3,24,1,70.58456421,,,,Y,N,N,N,N,N,N,N
A9,Sample 3,GK,UNKNOWN,SYBR,None,,,,23.12136459,23.06199646,0.083959222,,,,,,,TRUE,0.382780225,TRUE,3,17,1,72.82404327,,,,N,N,N,N,N,N,N,N
A10,Sample 3,GK,UNKNOWN,SYBR,None,,,,23.00262833,23.06199646,0.083959222,,,,,,,TRUE,0.382780225,TRUE,3,14,1,71.1842804,,,,N,N,N,N,N,N,N,N
B1,Sample 1,GLIT1,UNKNOWN,SYBR,None,1,0.292864025,3.414553881,21.90046883,21.52112198,0.536476135,,-1.75357151,0.411768556,,,0,TRUE,0.768644866,TRUE,3,13,1,78.18435669,,,,N,N,Y,N,N,N,N,N
B2,Sample 1,GLIT1,UNKNOWN,SYBR,None,1,0.292864025,3.414553881,21.14177704,21.52112198,0.536476135,,-1.75357151,0.411768556,,,0,TRUE,0.768644866,TRUE,3,12,1,78.18435669,,,,N,N,Y,N,N,N,N,N
B3,Sample 1,ACTB,UNKNOWN,SYBR,None,1,0.596541643,1.676328897,18.1213398,18.18733215,0.093328632,,-5.087361336,0.173219919,,,0,TRUE,0.881184954,TRUE,3,10,1,83.40431976,,,,N,N,N,N,N,N,N,N
B4,Sample 1,ACTB,UNKNOWN,SYBR,None,1,0.596541643,1.676328897,18.25332642,18.18733215,0.093328632,,-5.087361336,0.173219919,,,0,TRUE,0.881184954,TRUE,3,9,1,83.40431976,,,,N,N,N,N,N,N,N,N
B5,Sample 8,GLIT1,UNKNOWN,SYBR,None,0.506757736,0.01424683,18.02530289,20.72861099,20.67080307,0.081752747,,-0.772939682,1.197536349,,,0.980631828,TRUE,0.768644866,TRUE,3,11,1,77.88850403,,,,N,N,N,N,N,N,N,N
B6,Sample 8,GLIT1,UNKNOWN,SYBR,None,0.506757736,0.01424683,18.02530289,20.61299515,20.67080307,0.081752747,,-0.772939682,1.197536349,,,0.980631828,TRUE,0.768644866,TRUE,3,11,1,78.03755951,,,,N,N,N,N,N,N,N,N
B7,Sample 8,ACTB,UNKNOWN,SYBR,None,0.393449426,0.010191543,15.18930531,17.96644974,17.70213127,0.373802751,,-3.741611481,1.224996209,,,1.345749855,TRUE,0.881184954,TRUE,3,9,1,83.55603027,,,,N,N,N,N,N,N,N,N
B8,Sample 8,ACTB,UNKNOWN,SYBR,None,0.393449426,0.010191543,15.18930531,17.43781281,17.70213127,0.373802751,,-3.741611481,1.224996209,,,1.345749855,TRUE,0.881184954,TRUE,1,2,1,83.55603027,,,,N,N,N,N,N,N,N,N
B9,Sample 4,GK,UNKNOWN,SYBR,None,,,,23.04244423,22.83950615,0.286997795,,,,,,,TRUE,0.382780225,TRUE,3,17,1,70.88614655,,,,N,N,N,N,N,N,N,N
B10,Sample 4,GK,UNKNOWN,SYBR,None,,,,22.63656807,22.83950615,0.286997795,,,,,,,TRUE,0.382780225,TRUE,3,15,1,72.67497253,,,,N,N,N,N,N,N,N,N
C1,Sample 2,GLIT1,UNKNOWN,SYBR,None,1.080740094,0.735896349,1.587178707,21.23789406,21.21960449,0.025864003,,-1.865591049,0.128861204,,,-0.112019539,TRUE,0.768644866,TRUE,3,11,1,78.18435669,,,,N,N,N,N,N,N,N,N
C2,Sample 2,GLIT1,UNKNOWN,SYBR,None,1.080740094,0.735896349,1.587178707,21.20131683,21.21960449,0.025864003,,-1.865591049,0.128861204,,,-0.112019539,TRUE,0.768644866,TRUE,3,13,1,78.18435669,,,,N,N,N,N,N,N,N,N
C3,Sample 2,ACTB,UNKNOWN,SYBR,None,0.684325695,0.206091166,2.272303343,18.92673111,18.54508018,0.539735913,,-4.54011631,0.402402997,,,0.547245026,TRUE,0.881184954,TRUE,3,11,1,83.40431976,,,,N,N,Y,N,N,N,N,N
C4,Sample 2,ACTB,UNKNOWN,SYBR,None,0.684325695,0.206091166,2.272303343,18.16342926,18.54508018,0.539735913,,-4.54011631,0.402402997,,,0.547245026,TRUE,0.881184954,TRUE,3,7,1,83.40431976,,,,N,N,Y,N,N,N,N,N
C5,Sample 9,GLIT1,UNKNOWN,SYBR,None,1.637988806,0.327835351,8.184008598,20.97992897,20.88477707,0.134563759,,-2.465497017,0.539407253,,,-0.711925507,TRUE,0.768644866,TRUE,3,12,1,78.03755951,,,,N,N,N,N,N,N,N,N
C6,Sample 9,GLIT1,UNKNOWN,SYBR,None,1.637988806,0.327835351,8.184008598,20.78962708,20.88477707,0.134563759,,-2.465497017,0.539407253,,,-0.711925507,TRUE,0.768644866,TRUE,3,13,1,78.03755951,,,,N,N,N,N,N,N,N,N
C7,Sample 9,ACTB,UNKNOWN,SYBR,None,1.028529763,0.208701029,5.068847179,18.15823364,18.22233009,0.090646073,,-5.127944946,0.53480351,,,-0.040583611,TRUE,0.881184954,TRUE,3,10,1,83.55603027,,,,N,N,N,N,N,N,N,N
C8,Sample 9,ACTB,UNKNOWN,SYBR,None,1.028529763,0.208701029,5.068847179,18.28642654,18.22233009,0.090646073,,-5.127944946,0.53480351,,,-0.040583611,TRUE,0.881184954,TRUE,3,11,1,83.55603027,,,,N,N,N,N,N,N,N,N
C9,Sample 7,GK,UNKNOWN,SYBR,None,,,,22.80765724,21.21219254,2.256327868,,,,,,,TRUE,0.382780225,TRUE,3,15,1,72.82404327,,,,N,N,Y,N,N,N,N,N
C10,Sample 7,GK,UNKNOWN,SYBR,None,,,,19.61672783,21.21219254,2.256327868,,,,,,,TRUE,0.382780225,TRUE,1,2,1,72.82404327,,,,N,N,Y,N,N,N,N,N
D1,,GLIT1,UNKNOWN,SYBR,None,,,,Undetermined,,,,,,,,,TRUE,0.768644866,TRUE,3,23,1,81.01608276,,,,N,Y,N,Y,Y,Y,N,N
D2,,GLIT1,UNKNOWN,SYBR,None,,,,Undetermined,,,,,,,,,TRUE,0.768644866,TRUE,3,39,1,82.65550232,,,,N,Y,N,N,Y,Y,Y,N
D3,,ACTB,UNKNOWN,SYBR,None,,,,Undetermined,,,,,,,,,TRUE,0.881184954,TRUE,3,38,1,81.61560059,,,,N,Y,N,N,Y,Y,Y,N
D4,,ACTB,UNKNOWN,SYBR,None,,,,Undetermined,,,,,,,,,TRUE,0.881184954,TRUE,3,38,1,81.31748199,,,,N,Y,N,N,N,Y,Y,N
D5,Sample 11,GLIT1,UNKNOWN,SYBR,None,1.019426465,0.861967862,1.205648422,21.35834885,21.30545807,0.074797504,,-1.781329155,0.056256365,,,-0.027757645,TRUE,0.768644866,TRUE,3,14,1,78.03755951,,,,N,N,N,N,N,N,N,N
D6,Sample 11,GLIT1,UNKNOWN,SYBR,None,1.019426465,0.861967862,1.205648422,21.2525692,21.30545807,0.074797504,,-1.781329155,0.056256365,,,-0.027757645,TRUE,0.768644866,TRUE,3,10,1,78.03755951,,,,N,N,N,N,N,N,N,N
D7,Sample 11,ACTB,UNKNOWN,SYBR,None,1.756968617,0.06024551,51.23931503,18.31712723,17.18633842,1.599176884,,-5.900449753,1.130951285,,,-0.813088417,TRUE,0.881184954,TRUE,3,9,1,83.40697479,,,,N,N,Y,N,N,N,N,N
D8,Sample 11,ACTB,UNKNOWN,SYBR,None,1.756968617,0.06024551,51.23931503,16.05554962,17.18633842,1.599176884,,-5.900449753,1.130951285,,,-0.813088417,TRUE,0.881184954,TRUE,1,2,1,83.40697479,,,,N,N,Y,N,N,N,N,N
D9,Sample 8,GK,UNKNOWN,SYBR,None,,,,22.63988304,21.44374275,1.691597819,,,,,,,TRUE,0.382780225,TRUE,3,13,1,72.0786972,,,,N,N,Y,N,N,N,N,N
D10,Sample 8,GK,UNKNOWN,SYBR,None,,,,20.24760246,21.44374275,1.691597819,,,,,,,TRUE,0.382780225,TRUE,1,2,1,72.37683868,,,,N,N,Y,N,N,N,N,N
E1,Sample 6,GLIT1,UNKNOWN,SYBR,None,0.972007096,0.568126082,1.663007259,20.89053345,21.03568268,0.205272004,,-1.712610245,0.180064663,,,0.040961266,TRUE,0.768644866,TRUE,3,12,1,78.33339691,,,,N,N,N,N,N,N,N,N
E2,Sample 6,GLIT1,UNKNOWN,SYBR,None,0.972007096,0.568126082,1.663007259,21.18083191,21.03568268,0.205272004,,-1.712610245,0.180064663,,,0.040961266,TRUE,0.768644866,TRUE,3,13,1,78.18435669,,,,N,N,N,N,N,N,N,N
E3,Sample 6,ACTB,UNKNOWN,SYBR,None,1.350020647,0.390808493,4.663552284,16.8261795,17.22795105,0.568189442,,-5.520342827,0.415661633,,,-0.432981491,TRUE,0.881184954,TRUE,1,2,1,83.25526428,,,,N,N,Y,N,N,N,N,N
E4,Sample 6,ACTB,UNKNOWN,SYBR,None,1.350020647,0.390808493,4.663552284,17.62972069,17.22795105,0.568189442,,-5.520342827,0.415661633,,,-0.432981491,TRUE,0.881184954,TRUE,3,10,1,83.40431976,,,,N,N,Y,N,N,N,N,N
E5,Sample 10,GLIT1,UNKNOWN,SYBR,None,0.174173579,0.031880736,0.951559961,20.30031395,19.74349213,0.787464976,,0.767830849,0.569362402,,,2.521402359,TRUE,0.768644866,TRUE,3,8,1,78.03755951,,,,N,N,Y,N,N,N,N,N
E6,Sample 10,GLIT1,UNKNOWN,SYBR,None,0.174173579,0.031880736,0.951559961,19.1866703,19.74349213,0.787464976,,0.767830849,0.569362402,,,2.521402359,TRUE,0.768644866,TRUE,1,2,1,78.03755951,,,,N,N,Y,N,N,N,N,N
