Well,Sample Name,Target Name,Task,Reporter,Quencher,RQ,RQ Min,RQ Max,Cт,Cт Mean,Cт SD,ΔCт,ΔCт Mean,ΔCт SE,HK Control ΔCт Mean,HK Control ΔCт SE,ΔΔCт,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Efficiency,Tm1,Tm2,Tm3,Comments,HIGHSD,NOAMP,EXPFAIL,MTP
A1,,glut1,NTC,SYBR,None,,,,Undetermined,,,,,,,,,TRUE,1.230659912,TRUE,3,39,1,72.37207794,61.04462051,,,N,N,N,Y
A2,,glut1,NTC,SYBR,None,,,,Undetermined,,,,,,,,,TRUE,1.230659912,TRUE,3,39,1,69.09307861,61.3427124,,,N,N,N,Y
A5,NcT Actin,actb,NTC,SYBR,None,,,,Undetermined,,,,,,,,,TRUE,0.028595451,TRUE,3,39,1,82.65933228,67.75345612,61.94016266,,N,N,N,Y
A6,NcT Actin,actb,NTC,SYBR,None,,,,Undetermined,,,,,,,,,TRUE,0.028595451,TRUE,3,39,1,80.57250977,68.3496933,71.92710114,,N,N,N,Y
A9,Sample 3,gk,UNKNOWN,SYBR,None,12.52111149,6.14571619,25.51016617,24.81687164,24.73465347,0.1162754,,1.133721352,0.238622457,,,-3.646290779,TRUE,1.084602833,TRUE,3,15,1,71.77962494,,,,N,N,N,N
A10,Sample 3,gk,UNKNOWN,SYBR,None,12.52111149,6.14571619,25.51016617,24.6524334,24.73465347,0.1162754,,1.133721352,0.238622457,,,-3.646290779,TRUE,1.084602833,TRUE,3,16,1,73.12133789,,,,N,N,N,N
A11,NcT Actin,actb,NTC,SYBR,None,,,,Undetermined,,,,,,,,,TRUE,0.028595451,TRUE,3,39,1,61.34249878,66.85877228,,,N,N,N,Y
A12,NcT Actin,actb,NTC,SYBR,None,,,,Undetermined,,,,,,,,,TRUE,0.028595451,TRUE,3,39,1,61.34249878,,,,N,N,N,N
B3,,actb,UNKNOWN,SYBR,None,,,,Undetermined,,,,,,,,,TRUE,0.028595451,TRUE,3,39,1,68.50055695,71.63050079,,,N,N,Y,Y
B4,,actb,UNKNOWN,SYBR,None,,,,Undetermined,,,,,,,,,TRUE,0.028595451,TRUE,3,39,1,67.9043808,60.8992691,,,N,N,Y,Y
B5,Sample 8,glut1,UNKNOWN,SYBR,None,,,,23.98445511,23.56740189,0.589802325,,,,,,,TRUE,1.230659912,TRUE,3,17,1,78.03851318,,,,Y,N,N,N
B6,Sample 8,glut1,UNKNOWN,SYBR,None,,,,23.15034866,23.56740189,0.589802325,,,,,,,TRUE,1.230659912,TRUE,3,15,1,78.03851318,,,,Y,N,N,N
B7,Sample 8,actb,UNKNOWN,SYBR,None,,,,Undetermined,,,,,,,,,TRUE,0.028595451,TRUE,3,39,1,68.05381012,,,,N,N,Y,N
B8,Sample 8,actb,UNKNOWN,SYBR,None,,,,Undetermined,,,,,,,,,TRUE,0.028595451,TRUE,3,39,1,67.60662842,,,,N,N,Y,N
B9,Sample 4,gk,UNKNOWN,SYBR,None,,,,27.65963173,27.58121109,0.11090488,,,,,,,TRUE,1.084602833,TRUE,3,19,1,69.24528503,,,,N,N,N,N
B10,Sample 4,gk,UNKNOWN,SYBR,None,,,,27.50278854,27.58121109,0.11090488,,,,,,,TRUE,1.084602833,TRUE,3,20,1,69.54344177,,,,N,N,N,N
