Well,Sample Name,Target Name,Task,Reporter,Quencher,RQ,RQ Min,RQ Max,Cт,Cт Mean,Cт SD,ΔCт,ΔCт Mean,ΔCт SE,HK Control ΔCт Mean,HK Control ΔCт SE,ΔΔCт,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Efficiency,Tm1,Tm2,Tm3,Comments,AMPNC,BADROX,HIGHSD,NOISE,SPIKE,NOSIGNAL,EXPFAIL,MTP
A1,,Glut 1,NTC,SYBR,None,,,,29.50122833,,,,,,,,,TRUE,0.014785846,TRUE,3,23,1,79.6858902,,,,Y,Y,N,N,N,Y,N,N
A2,,Glut 1,NTC,SYBR,None,,,,Undetermined,,,,,,,,,TRUE,0.014785846,TRUE,3,38,1,78.64206696,,,,N,Y,N,N,Y,Y,N,N
A9,Sample 19,GK,UNKNOWN,SYBR,None,,,,24.68614197,24.72587204,0.056185458,,7.293653488,0.693686426,,,,TRUE,1.185499205,TRUE,3,17,1,72.37962341,,,,N,N,N,N,N,N,N,N
A10,Sample 19,GK,UNKNOWN,SYBR,None,,,,24.7656002,24.72587204,0.056185458,,7.293653488,0.693686426,,,,TRUE,1.185499205,TRUE,3,15,1,81.03009796,,,,N,N,N,N,N,N,N,N
A11,,GK,NTC,SYBR,None,,,,Undetermined,,,,,,,,,TRUE,1.185499205,TRUE,1,2,1,80.57783508,,,,N,N,N,Y,Y,Y,N,N
B1,Sample 13,Glut 1,UNKNOWN,SYBR,None,,,,18.31481361,17.9899025,0.459493697,,,,,,,TRUE,0.014785846,TRUE,3,16,1,78.34383392,72.82649231,,,N,N,N,N,N,N,N,Y
B2,Sample 13,Glut 1,UNKNOWN,SYBR,None,,,,17.66499138,17.9899025,0.459493697,,,,,,,TRUE,0.014785846,TRUE,3,16,1,78.34383392,,,,N,N,N,N,N,N,N,N
B3,Sample 13,ACTB,UNKNOWN,SYBR,None,,,,17.35446167,17.30965996,0.063359186,,-0.680242538,0.327985406,,,,TRUE,0.117639096,TRUE,3,13,1,84.0067749,,,,N,N,N,N,N,N,N,N
B4,Sample 13,ACTB,UNKNOWN,SYBR,None,,,,17.26485825,17.30965996,0.063359186,,-0.680242538,0.327985406,,,,TRUE,0.117639096,TRUE,3,14,1,84.0067749,,,,N,N,N,N,N,N,N,N
B5,Sample18,Glut 1,UNKNOWN,SYBR,None,,,,37.282341,37.282341,,,,,,,,TRUE,0.014785846,TRUE,3,35,1,73.26944733,,,,N,N,N,N,N,N,N,N
