Well,Sample Name,Target Name,Task,Reporter,Quencher,RQ,RQ Min,RQ Max,Cт,Cт Mean,Cт SD,ΔCт,ΔCт Mean,ΔCт SE,HK Control ΔCт Mean,HK Control ΔCт SE,ΔΔCт,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Efficiency,Tm1,Tm2,Tm3,Comments,BADROX,HIGHSD,NOSIGNAL,MTP
A1,nct,glut1,NTC,SYBR,None,,,,Undetermined,,,,,,,,,TRUE,0.747329895,TRUE,3,22,1,74.01842499,77.29846191,61.04734802,,N,N,N,Y
A2,nct,glut1,NTC,SYBR,None,,,,Undetermined,,,,,,,,,TRUE,0.747329895,TRUE,3,39,1,70.44019318,,,,N,N,N,N
A7,,acbt,NTC,SYBR,None,,,,Undetermined,,,,,,,,,TRUE,0.916285001,TRUE,3,39,1,61.4928093,68.94634247,,,N,N,N,Y
A8,,acbt,NTC,SYBR,None,,,,Undetermined,,,,,,,,,TRUE,0.916285001,TRUE,3,39,1,69.09541321,62.23816299,,,N,N,N,Y
B1,Sample 1,glut1,UNKNOWN,SYBR,None,,,,25.32224846,24.90884018,0.584648967,,,,,,,TRUE,0.747329895,TRUE,3,18,1,78.19302368,,,,N,Y,N,N
B2,Sample 1,glut1,UNKNOWN,SYBR,None,,,,24.49542999,24.90884018,0.584648967,,,,,,,TRUE,0.747329895,TRUE,3,18,1,78.19302368,,,,N,Y,N,N
B3,Sample 1,acbt,UNKNOWN,SYBR,None,,,,20.48079872,20.48079872,,,-4.428040504,,,,,TRUE,0.916285001,TRUE,3,13,1,84.0042572,,,,N,N,N,N
B4,Sample 1,acbt,UNKNOWN,SYBR,None,,,,Undetermined,20.48079872,,,,,,,,TRUE,0.916285001,TRUE,1,2,1,73.12192535,,,,Y,N,Y,N
B5,Sample 8,glut1,UNKNOWN,SYBR,None,,,,23.39848709,23.27093887,0.180381775,,,,,,,TRUE,0.747329895,TRUE,3,17,1,78.0386734,,,,N,N,N,N
B6,Sample 8,glut1,UNKNOWN,SYBR,None,,,,23.14338875,23.27093887,0.180381775,,,,,,,TRUE,0.747329895,TRUE,3,17,1,78.0386734,,,,N,N,N,N
B7,Sample 8,acbt,UNKNOWN,SYBR,None,,,,20.57180214,20.41382599,0.223412022,,-2.857111931,0.203040034,,,,TRUE,0.916285001,TRUE,3,13,1,84.00247192,,,,N,N,N,N
B8,Sample 8,acbt,UNKNOWN,SYBR,None,,,,20.25584984,20.41382599,0.223412022,,-2.857111931,0.203040034,,,,TRUE,0.916285001,TRUE,3,13,1,84.00247192,,,,N,N,N,N
C1,Sample 2,glut1,UNKNOWN,SYBR,None,,,,25.38781166,25.36629105,0.030436093,,,,,,,TRUE,0.747329895,TRUE,3,18,1,78.19302368,,,,N,N,N,N
C2,Sample 2,glut1,UNKNOWN,SYBR,None,,,,25.34476852,25.36629105,0.030436093,,,,,,,TRUE,0.747329895,TRUE,3,18,1,78.19302368,,,,N,N,N,N
C3,Sample 2,acbt,UNKNOWN,SYBR,None,,,,21.35395813,20.89519882,0.648783624,,-4.47109127,0.459263831,,,,TRUE,0.916285001,TRUE,3,15,1,84.0042572,,,,N,Y,N,N
C4,Sample 2,acbt,UNKNOWN,SYBR,None,,,,20.43643951,20.89519882,0.648783624,,-4.47109127,0.459263831,,,,TRUE,0.916285001,TRUE,3,14,1,84.0042572,,,,N,Y,N,N
C5,Sample 9,glut1,UNKNOWN,SYBR,None,,,,24.11953926,24.53581619,0.588703156,,,,,,,TRUE,0.747329895,TRUE,3,17,1,78.0386734,,,,N,Y,N,N
C6,Sample 9,glut1,UNKNOWN,SYBR,None,,,,24.95209122,24.53581619,0.588703156,,,,,,,TRUE,0.747329895,TRUE,3,13,1,78.0386734,,,,N,Y,N,N
C7,Sample 9,acbt,UNKNOWN,SYBR,None,,,,20.27506638,20.08998871,0.261739343,,-4.44582653,0.455564946,,,,TRUE,0.916285001,TRUE,3,12,1,84.00247192,,,,N,N,N,N
C8,Sample 9,acbt,UNKNOWN,SYBR,None,,,,19.90491104,20.08998871,0.261739343,,-4.44582653,0.455564946,,,,TRUE,0.916285001,TRUE,3,12,1,84.00247192,,,,N,N,N,N
D1,Sample 5,glut1,UNKNOWN,SYBR,None,,,,24.85309601,24.74526215,0.152501464,,,,,,,TRUE,0.747329895,TRUE,3,18,1,78.04393005,,,,N,N,N,N
D2,Sample 5,glut1,UNKNOWN,SYBR,None,,,,24.63742638,24.74526215,0.152501464,,,,,,,TRUE,0.747329895,TRUE,3,18,1,77.89483643,,,,N,N,N,N
D3,Sample 5,acbt,UNKNOWN,SYBR,None,,,,22.07702255,21.62715912,0.636204302,,-3.118103027,0.462608159,,,,TRUE,0.916285001,TRUE,3,15,1,84.0042572,,,,N,Y,N,N
D4,Sample 5,acbt,UNKNOWN,SYBR,None,,,,21.17729378,21.62715912,0.636204302,,-3.118103027,0.462608159,,,,TRUE,0.916285001,TRUE,3,14,1,84.0042572,,,,N,Y,N,N
D5,Sample 11,glut1,UNKNOWN,SYBR,None,,,,23.89209747,23.83567429,0.079794437,,,,,,,TRUE,0.747329895,TRUE,3,17,1,78.0386734,,,,N,N,N,N
D6,Sample 11,glut1,UNKNOWN,SYBR,None,,,,23.7792511,23.83567429,0.079794437,,,,,,,TRUE,0.747329895,TRUE,3,16,1,77.88961792,,,,N,N,N,N
D7,Sample 11,acbt,UNKNOWN,SYBR,None,,,,20.3444252,20.20576477,0.196095467,,-3.629909515,0.149700671,,,,TRUE,0.916285001,TRUE,3,13,1,84.00247192,,,,N,N,N,N
D8,Sample 11,acbt,UNKNOWN,SYBR,None,,,,20.06710434,20.20576477,0.196095467,,-3.629909515,0.149700671,,,,TRUE,0.916285001,TRUE,3,13,1,84.00247192,,,,N,N,N,N
E1,Sample 6,glut1,UNKNOWN,SYBR,None,,,,23.61395645,23.4076004,0.291830182,,,,,,,TRUE,0.747329895,TRUE,3,16,1,78.19302368,,,,N,N,N,N
E2,Sample 6,glut1,UNKNOWN,SYBR,None,,,,23.20124626,23.4076004,0.291830182,,,,,,,TRUE,0.747329895,TRUE,3,16,1,78.04393005,,,,N,N,N,N
E3,Sample 6,acbt,UNKNOWN,SYBR,None,,,,19.8239975,19.36506271,0.649033129,,-4.042539597,0.503194213,,,,TRUE,0.916285001,TRUE,3,12,1,84.0042572,,,,N,Y,N,N
E4,Sample 6,acbt,UNKNOWN,SYBR,None,,,,18.90612602,19.36506271,0.649033129,,-4.042539597,0.503194213,,,,TRUE,0.916285001,TRUE,3,12,1,84.0042572,,,,N,Y,N,N
E5,Sample 10,glut1,UNKNOWN,SYBR,None,,,,24.05942154,24.01905823,0.057082344,,,,,,,TRUE,0.747329895,TRUE,3,17,1,77.74055481,,,,N,N,N,N
E6,Sample 10,glut1,UNKNOWN,SYBR,None,,,,23.97869492,24.01905823,0.057082344,,,,,,,TRUE,0.747329895,TRUE,3,16,1,77.74055481,,,,N,N,N,N
E7,Sample 10,acbt,UNKNOWN,SYBR,None,,,,21.49940872,21.08543396,0.585447371,,-2.933623314,0.415936917,,,,TRUE,0.916285001,TRUE,3,15,1,84.00247192,,,,N,Y,N,N
E8,Sample 10,acbt,UNKNOWN,SYBR,None,,,,20.67146111,21.08543396,0.585447371,,-2.933623314,0.415936917,,,,TRUE,0.916285001,TRUE,3,14,1,84.00247192,,,,N,Y,N,N
F1,Sample 3,glut1,UNKNOWN,SYBR,None,,,,24.38921356,24.29684448,0.130630955,,,,,,,TRUE,0.747329895,TRUE,3,17,1,78.34211731,,,,N,N,N,N
F2,Sample 3,glut1,UNKNOWN,SYBR,None,,,,24.2044735,24.29684448,0.130630955,,,,,,,TRUE,0.747329895,TRUE,3,17,1,78.19302368,,,,N,N,N,N
F3,Sample 3,acbt,UNKNOWN,SYBR,None,,,,20.2637043,20.03980255,0.316644877,,-4.257040977,0.242206976,,,,TRUE,0.916285001,TRUE,3,13,1,83.85518646,,,,N,N,N,N
F4,Sample 3,acbt,UNKNOWN,SYBR,None,,,,19.8159008,20.03980255,0.316644877,,-4.257040977,0.242206976,,,,TRUE,0.916285001,TRUE,3,13,1,83.85518646,,,,N,N,N,N
F5,Sample 12,glut1,UNKNOWN,SYBR,None,,,,22.92320061,22.84415436,0.111789629,,,,,,,TRUE,0.747329895,TRUE,3,16,1,78.0386734,,,,N,N,N,N
F6,Sample 12,glut1,UNKNOWN,SYBR,None,,,,22.7651062,22.84415436,0.111789629,,,,,,,TRUE,0.747329895,TRUE,3,15,1,77.88961792,,,,N,N,N,N
F7,Sample 12,acbt,UNKNOWN,SYBR,None,,,,19.65337944,19.6473732,0.008494107,,-3.196780205,0.079275064,,,,TRUE,0.916285001,TRUE,3,12,1,84.00247192,,,,N,N,N,N
