,Sample Name,Cт Mean,Category,Cт Mean actb,ΔCт Mean
0,1,28.09337234,CON,15.31031227,12.783060069999998
1,2,27.258331300000002,CON,25.41945648,1.838874820000001
2,19,24.72587204,CSD,17.85355377,6.872318269999997
3,20,25.37207603,CSD,17.78211975,7.589956279999999
4,23,26.0776825,CSD,17.61995316,8.45772934
5,24,25.76947403,CSD,17.59796524,8.17150879
6,13,25.78019714,CSD,17.30965996,8.470537179999997
7,14,25.54491043,CON,18.48748016,7.057430270000001
8,21,25.93026352,CON,17.94937515,7.980888369999999
9,22,25.24301529,CON,18.18789673,7.05511856
